month,K=$0,K=$10,K=$25,K=$50,K=$100
2026-06,224121.78125,135471.609375,64493.86328125,19199.181640625,1857.9520263671875
2026-07,251467.109375,158465.53125,80377.890625,26492.87890625,3054.323974609375
2026-08,388736.03125,262050.515625,146329.96875,55633.125,8196.2080078125
2026-09,169502.40625,99950.6796875,45850.22265625,12670.0595703125,1066.69873046875
2026-10,219426.15625,139576.546875,72271.9453125,24505.248046875,2895.304931640625
2026-11,165892.296875,100242.2421875,47610.58203125,14102.58203125,1339.514404296875
