vol_multiplier,option_value_mean,option_value_p5,option_value_p95,exercise_rate
0.5,1394601.125,700115.3,2173251.4,0.10374461141469338
0.75,1992867.125,850977.0000000001,3416697.2999999993,0.12565285367334547
1.0,2839430.25,1033399.7,4962577.199999995,0.15138334851244686
1.25,4075280.5,1519531.6,7001676.899999999,0.1814074833029751
1.5,5621587.5,2021612.2000000002,9725547.999999994,0.2059861870066788
2.0,9620822.0,3577223.3000000003,15817891.499999994,0.24090437158469946
