month,n_hours,mean,p5,p50,p95,exercise_rate
2026-06,720,193572.21875,66781.5078125,179635.875,366991.40625,0.13577875
2026-07,744,223817.421875,44354.34765625,202332.390625,480985.71875,0.13963252688172043
2026-08,744,359363.46875,77771.421875,339090.75,706572.5625,0.1916375
2026-09,720,153707.21875,12334.69140625,132412.1875,365174.375,0.11346791666666667
2026-10,744,196139.0,20575.248046875,174273.703125,440150.53125,0.12059798387096775
2026-11,720,141578.375,3495.725830078125,111200.703125,385260.59375,0.09931569444444445
