month,Peaker SCGT (your toll),Antelope Station,Modern CCGT
2026-06,63794.5078125,286258.5,540070.1875
2026-07,79580.5390625,315090.34375,569775.625
2026-08,145075.6875,470394.40625,768546.5
2026-09,45325.21484375,218183.21875,411737.8125
2026-10,71575.84375,273657.15625,484995.59375
2026-11,47092.22265625,211998.125,405213.4375
