month,HR_strike=7.0,HR_strike=9.5,HR_strike=12.0
2026-06,1799164.125,1740469.0,1720167.625
2026-07,2489979.5,2539071.75,2634729.5
2026-08,3290804.75,3445081.75,3643149.5
2026-09,3401823.0,3756908.5,4141586.75
2026-10,3615410.25,4055535.5,4521124.0
2026-11,3008740.25,3337063.75,3694838.5
