month,HR_strike=7.0,HR_strike=9.5,HR_strike=12.0
2026-06,1281891.125,947516.0,699204.9375
2026-07,1281149.125,959583.0,726813.875
2026-08,1555405.625,1231366.25,985309.5
2026-09,1044719.125,784420.75,598961.3125
2026-10,1139793.75,867318.8125,672184.1875
2026-11,961942.9375,698624.8125,519106.3125
