month,n_hours,mean,p5,p50,p95,exercise_rate
2026-06,720,224121.78125,79951.328125,209482.8125,417338.09375,0.15771527777777777
2026-07,744,251467.109375,48450.78125,229069.9375,528022.5625,0.15766975806451614
2026-08,744,388736.03125,85579.1171875,369198.3125,757946.6875,0.20811290322580644
2026-09,720,169502.40625,14698.9111328125,146942.6875,399199.0625,0.12555166666666667
2026-10,744,219426.15625,26447.349609375,197089.0625,485534.375,0.13611048387096775
2026-11,720,165892.296875,6369.98828125,136140.15625,431642.46875,0.11684291666666667
